iter	Passed	Remaining
0	6	1004
1	12	904
2	17	841
3	22	837
4	29	851
5	36	867
6	42	876
7	49	873
8	56	888
9	62	877
10	70	889
11	75	867
12	80	850
13	88	860
14	93	845
15	102	856
16	107	842
17	115	845
18	121	838
19	128	837
20	134	827
21	141	821
22	158	876
23	168	882
24	179	898
25	195	930
26	202	924
27	211	919
28	218	910
29	226	904
30	233	896
31	240	888
32	248	880
33	254	866
34	260	854
35	265	841
36	270	827
37	276	813
38	281	800
39	286	787
40	292	778
41	296	763
42	302	752
43	309	745
44	316	737
45	322	729
46	328	718
47	336	714
48	343	708
49	349	698
50	354	688
51	360	678
52	366	669
53	371	661
54	377	652
55	384	644
56	391	638
57	396	629
58	402	620
59	409	614
60	416	608
61	425	604
62	431	595
63	437	587
64	442	578
65	447	569
66	454	562
67	459	554
68	464	545
69	470	538
70	475	528
71	480	520
72	485	512
73	490	503
74	495	495
75	500	487
76	504	478
77	506	467
78	511	459
79	516	452
80	523	446
81	528	438
82	535	432
83	541	425
84	549	419
85	555	413
86	560	406
87	567	399
88	572	392
89	576	384
90	581	377
91	587	370
92	592	362
93	597	356
94	602	348
95	606	341
96	611	334
97	616	327
98	621	320
99	626	313
100	631	306
101	635	299
102	640	292
103	646	285
104	652	279
105	659	273
106	665	267
107	671	261
108	685	257
109	693	252
110	699	245
111	712	241
112	717	234
113	723	228
114	728	221
115	733	215
116	740	208
117	746	202
118	751	195
119	757	189
120	761	182
121	764	175
122	768	168
123	773	162
124	779	155
125	785	149
126	790	143
127	795	136
128	799	130
129	804	123
130	809	117
131	815	111
132	822	105
133	827	98
134	832	92
135	839	86
136	844	80
137	852	74
138	858	67
139	867	61
140	873	55
141	879	49
142	885	43
143	891	37
144	898	30
145	904	24
146	911	18
147	917	12
148	923	6
149	930	0
